Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
G1,16/09/17,PAOK,Panetolikos,1,0,H,0,0,D,1.17,6.5,19,1.15,7.5,21,1.16,6.25,16.75,1.17,6.5,21,1.18,7.4,22.52,1.14,6.5,17,1.14,6.5,18,32,1.19,1.15,7.55,6.53,22.52,17.35,28,1.75,1.67,2.17,2.11,9,-1.75,1.79,1.72,2.18,2.12,1.23,6.65,16.5
G1,17/09/17,Lamia,AEK,0,1,A,0,0,D,15,5,1.25,14.5,4.75,1.3,12,4.25,1.3,15,4.25,1.3,15.5,4.64,1.34,11,4,1.33,13,4.3,1.3,33,15.5,12.14,5,4.39,1.36,1.29,30,2.64,2.48,1.53,1.49,11,1,2.67,2.48,1.59,1.53,18.44,5.06,1.29
G1,17/09/17,Larisa,Atromitos,0,0,D,0,0,D,3,3,2.5,2.9,3.1,2.6,2.9,2.95,2.55,2.9,2.9,2.5,3.08,3.23,2.56,2.8,2.88,2.6,2.9,3,2.5,32,3.08,2.85,3.23,2.98,2.7,2.51,28,2.62,2.42,1.59,1.52,13,0,2.14,2.06,1.83,1.77,2.92,3.13,2.75
G1,17/09/17,Panathinaikos,Apollon,1,0,H,1,0,H,1.25,5.5,12,1.25,5.5,14.5,1.25,5,12,1.25,5,13,1.28,5.7,14.97,1.22,5.5,11,1.22,5.25,15,34,1.29,1.24,5.7,5.11,17,12.66,30,1.98,1.88,1.95,1.85,12,-1.5,1.9,1.85,2.05,1.99,1.44,4.35,9.7
G1,17/09/17,Platanias,Kerkyra,0,0,D,0,0,D,1.67,3.3,6,1.65,3.5,6.25,1.65,3.35,5.5,1.7,3.2,5.5,1.72,3.55,6.21,1.67,3.1,6,1.67,3.3,5.75,32,1.72,1.67,3.55,3.32,6.25,5.45,28,2.71,2.56,1.5,1.47,12,-0.75,1.99,1.93,1.97,1.9,1.81,3.35,5.77
G1,18/09/17,Giannina,Panionios,1,1,D,0,0,D,2.5,3,3,2.45,3,3.2,2.5,2.9,3,2.5,2.87,3,2.59,3.13,3.13,2.5,2.8,3,2.45,3,3,35,2.61,2.46,3.13,2.93,3.2,2.97,30,2.71,2.57,1.53,1.46,13,-0.25,2.18,2.11,1.8,1.75,2.6,2.94,3.34
G1,23/09/17,Apollon,Platanias,0,1,A,0,1,A,2.25,3,3.5,2.25,3.25,3.4,2.25,2.95,3.4,2.25,2.87,3.3,2.32,3.08,3.72,2.25,2.88,3.4,2.25,2.9,3.4,35,2.36,2.24,3.25,2.99,3.72,3.32,32,2.79,2.62,1.53,1.45,15,-0.25,2,1.94,1.97,1.89,2.11,3.05,4.47
G1,23/09/17,Atromitos,Lamia,3,0,H,3,0,H,1.73,3.1,6,1.75,3.25,6,1.7,3.25,5.75,1.8,3.1,5,1.79,3.35,5.89,1.67,3.1,6,1.75,3.13,5.2,34,1.81,1.72,3.35,3.18,6,5.4,32,2.88,2.69,1.47,1.43,13,-0.75,2.09,2.04,1.85,1.8,1.81,3.27,5.96
G1,23/09/17,Panetolikos,Panathinaikos,2,0,H,1,0,H,3.6,3.1,2.15,3.5,3.1,2.25,3.45,3,2.2,3.4,2.9,2.2,3.68,3.11,2.31,3.3,3,2.2,3.5,3,2.15,35,4.4,3.46,3.3,3.03,2.31,2.17,32,2.64,2.52,1.53,1.48,14,0.5,1.74,1.69,2.28,2.2,3.58,2.97,2.45
G1,24/09/17,AEK,Olympiakos,3,2,H,0,1,A,2.3,3,3.4,2.3,3.2,3.3,2.3,3,3.2,2.3,3,3.1,2.36,3.25,3.4,2.38,3.1,2.9,2.25,3.1,3.2,35,2.4,2.29,3.25,3.05,3.4,3.14,30,2.5,2.36,1.61,1.54,14,-0.25,2.02,1.97,1.92,1.86,2.29,2.99,3.93
G1,24/09/17,Kerkyra,Levadeiakos,1,1,D,0,1,A,2.5,3,3,2.5,3,3.2,2.45,2.95,3,2.45,2.87,3,2.6,3.08,3.16,2.4,2.9,3,2.4,3,3,34,2.6,2.44,3.08,2.93,3.3,2.98,31,2.75,2.58,1.5,1.46,14,-0.25,2.16,2.1,1.81,1.76,2.35,3.06,3.68
G1,24/09/17,Panionios,Larisa,4,1,H,1,0,H,1.62,3.2,7.5,1.6,3.6,7,1.6,3.55,6,1.6,3.4,6,1.62,3.75,7.18,1.57,3.5,6,1.57,3.5,6.25,33,1.62,1.57,4,3.55,7.5,6.16,30,2.52,2.33,1.6,1.55,14,-1,2.18,2.11,1.79,1.74,1.57,3.79,7.89
G1,24/09/17,PAOK,Giannina,1,0,H,0,0,D,1.25,5,15,1.26,5.5,13,1.25,5.25,12,1.25,5.2,13,1.3,5.55,13.02,1.22,5,13,1.22,5.25,15,33,1.3,1.24,5.55,5.11,15,12.13,30,1.93,1.81,2.05,1.94,13,-1.5,1.88,1.81,2.08,2.01,1.28,5.82,14
G1,25/09/17,Xanthi,Asteras Tripolis,,,,,,,2.1,3.1,3.75,2.1,3.2,3.9,2.1,3.05,3.7,2.1,2.9,3.7,2.16,3.15,4.1,2,3.1,3.75,2.1,3,3.75,36,2.16,2.06,3.2,3.05,4.1,3.68,32,2.71,2.55,1.53,1.47,15,-0.5,2.17,2.1,1.8,1.75,,,
