Kieskring,Arrondissement,Kanton,Gemeente
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Schaerbeek#Schaarbeek,Schaerbeek#Schaarbeek
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Schaerbeek#Schaarbeek,Evere
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Uccle#Ukkel,Uccle#Ukkel
Brussel-Halle-Vilvoorde,Brussel-Hoofdstad#Bruxelles-Capitale,Uccle#Ukkel,Forest#Vorst
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Asse,Asse
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Asse,Affligem
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Asse,Liedekerke
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Asse,Merchtem
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Asse,Opwijk
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Asse,Ternat
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Asse,Dilbeek
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Halle#Hal,Halle#Hal
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Halle#Hal,Beersel
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Halle#Hal,Pepingen
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Halle#Hal,Sint-Pieters-Leeuw
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Lennik,Lennik
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Lennik,Bever#Biévène
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Lennik,Galmaarden#Gammerages
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Lennik,Gooik
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Lennik,Herne
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Lennik,Roosdaal
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Meise,Meise
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Meise,Grimbergen
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Meise,Kapelle-op-den-Bos
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Meise,Londerzeel
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Vilvoorde#Vilvorde,Vilvoorde#Vilvorde
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Vilvoorde#Vilvorde,Kampenhout
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Vilvoorde#Vilvorde,Machelen
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Vilvoorde#Vilvorde,Zemst
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Zaventem,Zaventem
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Zaventem,Steenokkerzeel
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Zaventem,Overijse
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Zaventem,Hoeilaart
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Sint-Genesius-Rode#Rhode-Saint-Genèse
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Drogenbos
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Linkebeek
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Wemmel
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Kraainem
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Sint-Genesius-Rode#Rhode-Saint-Genèse,Wezembeek-Oppem
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Brussel#Bruxelles,Brussel#Bruxelles
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Anderlecht,Anderlecht
Brussel-Halle-Vilvoorde,Brussel-Halle-Vilvoorde,Anderlecht,Sint-Agatha-Berchem#Berchem-Sainte-Agathe
