Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA\r
D1,16/09/17,Stuttgart,Wolfsburg,1,0,H,1,0,H,8,8,4,1,14,19,2,3,2,3,0,0,2.3,3.5,3,2.45,3.5,2.8,2.4,3.3,2.95,2.37,3.3,2.9,2.49,3.46,3.03,2.4,3.3,2.9,2.4,3.5,3,35,2.5,2.41,3.5,3.37,3.05,2.95,34,1.97,1.89,1.97,1.91,17,-0.25,2.13,2.07,1.85,1.81,2.25,3.61,3.35\r
D1,16/09/17,Werder Bremen,Schalke 04,1,2,A,1,1,D,16,11,2,4,15,17,6,5,2,2,0,0,2.8,3.5,2.5,2.7,3.4,2.6,2.7,3.3,2.6,2.62,3.3,2.6,2.81,3.51,2.63,2.62,3.3,2.62,2.75,3.5,2.6,35,2.81,2.71,3.57,3.4,2.75,2.58,33,1.87,1.8,2.06,2.01,16,0,2.04,1.98,1.91,1.87,2.85,3.46,2.63\r
D1,17/09/17,Dortmund,FC Koln,5,0,H,2,0,H,22,6,8,2,11,12,8,5,0,3,0,0,1.22,6,13,1.26,5.75,12,1.27,6.5,9,1.25,6,13,1.26,6.77,12.92,1.25,5.5,12,1.25,6.5,12,33,1.29,1.25,7,6.13,13.55,11.83,25,1.47,1.43,3,2.77,15,-1.75,1.92,1.87,2.05,1.98,1.34,6.05,9.41\r
D1,17/09/17,Hoffenheim,Hertha,1,1,D,1,0,H,8,9,2,4,15,20,5,2,2,2,0,0,1.67,3.8,5.5,1.72,3.9,4.75,1.75,3.6,4.8,1.7,3.75,4.75,1.74,3.99,5.19,1.7,3.75,4.8,1.73,3.9,4.8,35,1.75,1.71,4,3.82,5.5,4.89,33,1.84,1.77,2.13,2.04,15,-0.75,1.96,1.92,1.98,1.94,1.78,3.84,5.06\r
D1,17/09/17,Leverkusen,Freiburg,4,0,H,3,0,H,22,4,9,1,4,13,5,4,0,2,0,0,1.45,4.5,7,1.45,4.6,7,1.55,4,6.2,1.44,4.5,6.5,1.49,4.75,7.21,1.44,4.5,7,1.45,4.6,6.5,35,1.55,1.46,4.8,4.55,7.4,6.85,31,1.62,1.56,2.54,2.4,15,-1.25,2.06,2.02,1.87,1.84,1.39,5.36,8.68\r
D1,19/09/17,Augsburg,RB Leipzig,1,0,H,1,0,H,11,14,4,3,15,17,3,2,2,2,0,0,3.5,3.5,2.1,3.5,3.5,2.1,3.3,3.35,2.2,3.4,3.4,2.1,3.68,3.56,2.14,3.6,3.4,2.05,3.5,3.5,2.15,34,3.68,3.49,3.6,3.46,2.2,2.11,35,1.94,1.89,1.98,1.91,16,0.25,2.1,2.04,1.87,1.81,3.2,3.62,2.32\r
D1,19/09/17,M'gladbach,Stuttgart,2,0,H,0,0,D,9,11,3,4,9,8,4,1,0,1,0,0,1.7,3.8,5,1.65,3.9,5.25,1.7,3.7,5,1.67,3.9,4.8,1.68,4.18,5.22,1.67,4,4.75,1.7,4,5,34,1.73,1.68,4.18,3.95,5.25,4.95,34,1.7,1.64,2.35,2.24,17,-1,2.23,2.15,1.78,1.73,1.71,4.17,5.12\r
D1,19/09/17,Schalke 04,Bayern Munich,0,3,A,0,2,A,11,12,4,8,13,11,2,6,1,1,0,0,7,4.75,1.44,6.75,4.75,1.45,7,4.5,1.45,6.5,4.5,1.44,7.31,4.89,1.47,7,4.5,1.44,7,4.8,1.45,34,7.4,6.88,5.05,4.74,1.5,1.44,31,1.62,1.56,2.48,2.39,16,1.25,1.93,1.88,2.03,1.97,6.13,4.36,1.59\r
D1,19/09/17,Wolfsburg,Werder Bremen,1,1,D,1,0,H,13,11,4,4,10,18,3,4,1,2,0,0,2.05,3.5,3.6,2,3.6,3.7,2.1,3.4,3.5,2,3.4,3.6,2.07,3.62,3.85,2,3.5,3.6,2.1,3.5,3.7,34,2.11,2.04,3.62,3.49,3.85,3.65,35,1.98,1.89,1.98,1.9,17,-0.5,2.11,2.05,1.86,1.83,1.94,3.77,4.17\r
D1,20/09/17,FC Koln,Ein Frankfurt,0,1,A,0,1,A,17,8,8,4,20,20,4,5,2,1,0,0,2.88,3.1,2.63,2.75,3.2,2.65,2.6,3.3,2.7,2.87,3.1,2.6,2.95,3.24,2.68,2.8,3.1,2.62,2.88,3.2,2.63,36,2.95,2.83,3.3,3.15,2.7,2.62,34,2.4,2.26,1.69,1.63,14,0.25,1.73,1.69,2.29,2.23,2.97,3.33,2.61\r
D1,20/09/17,Freiburg,Hannover,1,1,D,0,0,D,23,14,5,3,17,19,5,3,2,4,0,0,2.8,3.25,2.6,2.7,3.2,2.7,2.6,3.3,2.7,2.8,3.1,2.55,2.92,3.28,2.68,2.62,3.25,2.7,2.88,3.3,2.6,36,2.93,2.79,3.31,3.21,2.75,2.62,34,2.21,2.12,1.77,1.72,14,0.25,1.74,1.69,2.28,2.22,3.01,3.31,2.6\r
D1,20/09/17,Hamburg,Dortmund,0,3,A,0,1,A,6,17,2,7,15,14,4,3,3,0,0,0,7,4.75,1.44,7.25,5,1.4,6.5,4.2,1.5,6.5,4.6,1.44,7.08,4.96,1.48,7,4.5,1.44,7,4.8,1.45,36,7.5,6.91,5,4.74,1.5,1.44,32,1.59,1.53,2.55,2.46,16,1,2.29,2.23,1.71,1.68,8.57,5.69,1.37\r
D1,20/09/17,Hertha,Leverkusen,2,1,H,2,0,H,5,12,3,5,12,25,3,6,1,2,0,0,3.3,3.4,2.2,3.2,3.4,2.25,2.95,3.3,2.4,3.2,3.4,2.15,3.45,3.57,2.22,3.1,3.4,2.25,3.3,3.5,2.2,36,3.46,3.22,3.55,3.41,2.4,2.23,35,1.9,1.84,2.02,1.96,15,0.25,2.03,1.95,1.95,1.9,3.22,3.57,2.33\r
D1,20/09/17,Mainz,Hoffenheim,2,3,A,2,2,D,20,18,6,6,9,13,5,11,3,3,0,0,2.7,3.4,2.6,2.65,3.5,2.6,2.85,3.3,2.5,2.62,3.4,2.55,2.73,3.69,2.61,2.62,3.4,2.6,2.63,3.6,2.6,35,2.85,2.67,3.69,3.46,2.65,2.57,33,1.77,1.7,2.25,2.14,14,0.25,1.73,1.69,2.29,2.23,2.57,3.56,2.85\r

