Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA\r
SP1,10/09/17,Villarreal,Betis,3,1,H,1,1,D,14,8,7,3,9,9,4,3,3,0,0,0,1.85,3.6,4.33,1.87,3.5,4.4,1.8,3.6,4.5,1.85,3.4,4.25,1.9,3.62,4.62,1.91,3.4,4.2,1.85,3.6,4.3,34,1.92,1.88,3.69,3.51,4.62,4.33,33,2.12,2.02,1.85,1.8,14,-0.5,1.92,1.88,2.04,2.01,1.97,3.62,4.25\r
SP1,11/09/17,Malaga,Las Palmas,1,3,A,0,1,A,14,10,6,8,22,11,3,2,4,2,0,0,2,3.5,3.8,2,3.5,3.8,1.9,3.5,4.1,2,3.4,3.6,2.06,3.67,3.83,2,3.5,3.6,2,3.6,3.6,32,2.08,2,3.67,3.52,4.1,3.7,31,1.95,1.88,2,1.93,12,-0.5,2.07,2.04,1.87,1.86,2.03,3.59,4.02\r
SP1,15/09/17,Eibar,Leganes,1,0,H,0,0,D,10,5,4,2,15,20,8,1,2,5,0,0,2.05,3.25,4,2.05,3.2,4,2.1,3.4,3.5,2.05,3.1,3.8,2.13,3.3,4.04,2.1,3.1,3.8,2.15,3.25,3.9,37,2.16,2.09,3.4,3.2,4.3,3.86,33,2.55,2.42,1.59,1.55,16,-0.25,1.83,1.79,2.14,2.09,2.07,3.41,4.1\r
SP1,16/09/17,Ath Madrid,Malaga,1,0,H,0,0,D,17,9,4,4,9,15,8,4,2,2,0,0,1.22,6,15,1.22,6.25,14,1.3,5.8,9,1.22,5.75,13,1.24,6.4,16,1.22,6,13,1.22,6.5,17,37,1.3,1.23,6.78,6.11,17,14.28,35,1.79,1.73,2.19,2.1,15,-1.75,1.97,1.92,1.99,1.94,1.22,6.95,17.53\r
SP1,16/09/17,Betis,La Coruna,2,1,H,1,1,D,17,11,7,3,13,19,6,4,2,3,0,0,1.83,3.6,4.5,1.85,3.6,4.4,1.85,3.5,4.3,1.85,3.5,4.2,1.88,3.72,4.55,1.85,3.4,4.33,1.87,3.75,4.4,37,1.92,1.87,3.77,3.57,4.6,4.28,36,1.92,1.87,2.01,1.93,14,-0.75,2.17,2.13,1.79,1.76,1.82,3.88,4.73\r
SP1,16/09/17,Getafe,Barcelona,1,2,A,1,0,H,13,7,4,5,15,14,3,4,2,4,0,0,11,6.5,1.25,12.5,6.5,1.22,9,5.8,1.3,12,6,1.25,13.5,6.85,1.25,12,6.5,1.22,12,6.5,1.25,37,13.5,11.38,7.15,6.39,1.3,1.24,29,1.43,1.39,3.05,2.93,16,1.75,2.01,1.98,1.94,1.89,11.67,6.78,1.27\r
SP1,16/09/17,Levante,Valencia,1,1,D,1,1,D,9,13,2,5,21,11,1,3,2,1,0,0,3.25,3.25,2.3,3.1,3.25,2.4,3.15,3.3,2.3,3.1,3.25,2.3,3.15,3.35,2.47,3.1,3.1,2.4,3.2,3.3,2.4,37,3.25,3.11,3.45,3.27,2.47,2.37,36,2.13,2.04,1.84,1.78,16,0.25,1.88,1.84,2.1,2.03,3.27,3.41,2.38\r
SP1,17/09/17,Alaves,Villarreal,0,3,A,0,1,A,16,16,2,6,12,25,2,3,2,2,0,0,3.1,3.1,2.4,3.1,3.2,2.4,2.65,3.3,2.65,3.1,3,2.4,3.31,3.27,2.42,3.1,3.1,2.4,3.25,3.25,2.4,37,3.31,3.13,3.3,3.16,2.65,2.41,35,2.44,2.35,1.63,1.59,15,0.25,1.87,1.84,2.06,2.03,3.12,3.28,2.53\r
SP1,17/09/17,Girona,Sevilla,0,1,A,0,0,D,13,13,0,8,14,19,8,1,2,5,0,0,3.3,3.25,2.3,3.2,3.4,2.25,3.25,3.4,2.2,3,3.4,2.3,3.28,3.52,2.32,3.2,3.2,2.3,3.13,3.5,2.38,37,3.3,3.15,3.52,3.37,2.38,2.29,36,1.92,1.85,2.03,1.96,15,0.25,1.92,1.88,2.04,1.99,3.05,3.48,2.47\r
SP1,17/09/17,Las Palmas,Ath Bilbao,1,0,H,0,0,D,12,11,3,5,12,19,7,6,2,3,0,0,2.75,3.4,2.55,2.75,3.3,2.6,2.95,3.3,2.4,2.75,3.3,2.5,2.87,3.48,2.6,2.8,3.1,2.62,2.7,3.4,2.55,37,2.95,2.76,3.48,3.33,2.64,2.56,36,2,1.92,1.98,1.88,16,0,2.04,1.99,1.92,1.87,2.66,3.42,2.83\r
